Test ID,Test Name,Token Value,Mobile Applicable?,Is Public?,Test Type,Test Description,Item Count,Estimated Time,category:Accounting Knowledge,category:Accounting Office,category:Banking,category:Behavioral + Cognitive Profile,category:Behavioral Profile,category:Call Center,category:Clerical Office,category:Digital Literacy,category:Food Services,category:Gaming,category:Industrial,category:IT Skills,category:Legal,category:Medical Knowledge,category:Medical Office,category:Microsoft Office Skills,category:Nursing,category:Retail Sales,category:Software Skills,category:Staffing Services Management,industry:Banking/Finance,industry:Food Services,industry:Gaming/Hospitality,industry:Healthcare,industry:Information Technology,industry:Legal Services,industry:Manufacturing/Logistics,industry:Retail,industry:Staffing Services,language:Dutch,language:English,language:English for Australia,language:English for Canada,language:English for New Zealand,language:English for South Africa,language:English for UK,language:French,language:French Canadian,language:German,language:Italian,language:Spanish,language:Spanish for North America,level:Advanced Skills,level:Basic Skills,level:Entry Level Behavioral/Cognitive,level:Management Level Behavioral/Cognitive,level:Professional Level Behavioral/Cognitive,level:Standard Skills,productGroup:Accounting,productGroup:Bank Teller,productGroup:Behavioral/Cognitive Profile,productGroup:Call Center Skills,productGroup:Checking,productGroup:Coding,productGroup:Customer Service,productGroup:Data Entry,productGroup:DeltaView,productGroup:Digital Literacy,productGroup:Eclipse,productGroup:Filing,productGroup:Finance,productGroup:Food Service Skills,productGroup:Gaming Skills,productGroup:Grammar,productGroup:HIPAA,productGroup:Industrial Safety,productGroup:Industrial Skills,productGroup:Legal Knowledge,productGroup:Light Industrial Skills,productGroup:Lotus Notes,productGroup:Math,productGroup:Medical Knowledge,productGroup:Medical Office Skills,productGroup:Microsoft Access,productGroup:Microsoft Excel,productGroup:Microsoft FrontPage,productGroup:Microsoft Internet Explorer,productGroup:Microsoft Outlook,productGroup:Microsoft PowerPoint,productGroup:Microsoft Project,productGroup:Microsoft Publisher,productGroup:Microsoft Windows,productGroup:Microsoft Word,productGroup:MYOB,productGroup:Nursing Knowledge,productGroup:Office Manager Skills,productGroup:Peachtree,productGroup:Postal Codes,productGroup:Programming Skills,productGroup:Proofreading,productGroup:QuickBooks,productGroup:Reading Comprehension,productGroup:Receptionist Skills,productGroup:Retail Sales Skills,productGroup:Secretarial Skills,productGroup:Shorthand,productGroup:Spelling,productGroup:Staffing Knowledge,productGroup:Telemarketing Skills,productGroup:Telephone Skills,productGroup:Ten Key Test,productGroup:Transcription,productGroup:Translation - Spanish to English,productGroup:Typing Test,productGroup:Vocabulary,productGroup:Workplace English Usage (Spanish)
AU_FLTAC,"AU Typing Test - Accounting (F)",1,false,true,Standard,"Tests typing speed and error rate while copying a text specific to accounting environments.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FLTBF,"AU Typing Test - Banking and Finance (F)",1,false,true,Standard,"Tests typing speed and error rate while copying a text specific to banking and finance environments.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FLTIT,"AU Typing Test - Technical (F)",1,false,true,Standard,"Tests typing speed and error rate while copying a text specific to technical environments.",0,5 minutes,,,,,,,Clerical Office,,,,Industrial,,,,,,,,,,,,,,Information Technology,,Manufacturing/Logistics,,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FLTMD,"AU Typing Test - Medical (F)",1,false,true,Standard,"Tests typing speed and error rate while copying a text specific to medical environments.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,Medical Office,,,,,,,,,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_PHNTE,"Telephone Skills (Aust)",1,false,true,Standard,"This test contains questions relating to basic telephone techniques, manners, judgment and discretion as well as message taking.",32,20 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone Skills,,,,,,
AU_SPLAU,"Spelling (Audio) (Aust)",1,false,true,Audio,"Listening to audio, examinees are asked to type the correct spelling for various words.",30,20 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_SPLGE,"Spelling - Geography (Aust)",1,false,true,Standard,"Examinees are asked to select the correct spelling of countries as well as US and international cities and states.",40,30 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_SPLIA,"Spelling - Int Geography (Audio) (Aust)",1,false,true,Audio,"Listening to audio, examinees are asked to type the correct spelling of countries as well international cities and states.",40,30 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_WISFP,"Industrial Safety - Fire/Personnel Std (Aust)",1,false,true,Standard,"Questions cover topics such as fire prevention and industrial safety equipment.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,Food Services,,,,,Manufacturing/Logistics,,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,Industrial Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_WISWV,"Industrial Safety - Warehouse/Vehicles Std (Aust)",1,false,true,Standard,"This test measures knowledge of Aust. Safety Law, Personal Safety, Personnel Safety, Environmental Safety, Fire Safety, Hazardous Materials, Materials Handling, and Workplace Vehicles.",35,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,Industrial Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA_FLDAL,"Canadian Data Entry Test - Alphanumeric (F)",1,false,true,Standard,"The applicant is asked to type names and addresses using the keyboard.  Scores are based on speed and accuracy of input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_A11ST,"DE Access 2003 - Normaler Test",1,false,true,Standard,"Questions on the most commonly used Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_A12ST,"DE Access 2007 - Normaler Test",1,false,true,Standard,"Questions on the most commonly used Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_DATAL,"Dateneingabetest -- Alphanumerisch",1,false,true,Standard,"The applicant is asked to type names and addresses using the keyboard.  Scores are based on speed and accuracy of input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_DATNU,"Dateneingabetest -- Numerisch",1,false,true,Standard,"Examinees are asked to type numerical information using the computer keypad.  Scores are based on speed and accuracy of input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_P11ST,"DE PowerPoint 2003 - Normaler Test",1,false,true,Standard,"Questions on the most commonly used Microsoft PowerPoint features such as file management, creating and editing presentations and slideshows, inserting and editing graphics as well as customizing PowerPoint and PowerPoint and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_P12ST,"DE PowerPoint 2007 - Normaler Test",1,false,true,Standard,"Questions on the most commonly used Microsoft PowerPoint features such as file management, creating and editing presentations and slideshows, inserting and editing graphics as well as customizing PowerPoint and PowerPoint and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_TYPST,"Schreibmaschinen-Test",1,false,true,Standard,"Examinees are asked to type text from a copy. Scores measure typing speed and error rate.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_W11ST,"DE Word 2003 - Normaler Test",1,false,true,Standard,"Questions covering the most important and frequently used features of Microsoft Word 2003 such as file management, editing, formatting, printing, desktop publishing and customizing Word.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_W12ST,"DE Word 2007 - Normaler Test",1,false,true,Standard,"Questions covering the most important and frequently used features of Microsoft Word 2007 such as file management, editing, formatting, printing, desktop publishing and customizing Word.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_X11ST,"DE Excel 2003 - Normaler Test",1,false,true,Standard,"Questions on the most commonly used Microsoft Excel features such as file management, editing, formatting, analysis, customizing Excel and Excel and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_X12ST,"DE Excel 2007 - Normaler Test",1,false,true,Standard,"Questions on the most commonly used Microsoft Excel features such as file management, editing, formatting, analysis, customizing Excel and Excel and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,German,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A1102,"Access 2003 - Standard 30min",1,false,true,Standard,"Questions for the beginner user of Microsoft Access features such as file management, Access forms, queries, reports, tables and customizing Access.",37,45 Minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,,,,,,,,English,,,,,,,,,,,,Advanced Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A1107,"Access 2003 - Basic Skills (timed)",1,false,true,Standard,"Questions for the beginner user of Microsoft Access features such as file management, Access forms, queries, reports, tables and customizing Access.",37,45 Minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,,,,,,,English,,,,,,,,,,,,Advanced Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A11AD,"Access 2003 - Advanced Skills",1,false,true,Standard,"Questions for the advanced user of Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the Internet.",33,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,Advanced Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A11BS,"Access 2003 - Basic Skills",1,false,true,Standard,"Questions for the beginner user of Microsoft Access features such as file management, Access forms, queries, reports, tables and customizing Access.",37,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,,Information Technology,Legal Services,Manufacturing/Logistics,Retail,Staffing Services,,English,,,,,,,,,,,,,Basic Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A11ST,"Access 2003 - Standard",1,false,true,Standard,"Questions on the most commonly used Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A1202,"Access 2007 - Advanced Skills (timed 30min)",1,false,true,Timed 30min,"Questions for the advanced user of Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the internet.",0,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A1203,"Access 2007 - Basic Skills (timed 30min)",1,false,true,Timed 30min,"Questions for the beginner user of Microsoft Access features such as file management, Access forms, queries, reports, tables and customizing Access.",0,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A1204,"Access 2007 - Standard (timed 30min)",1,false,true,Timed 30min,"Questions on the most commonly used Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the Internet.",0,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A12AD,"Access 2007 - Advanced Skills",1,false,true,Standard,"Questions for the advanced user of Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the internet.",34,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,Advanced Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A12BS,"Access 2007 - Basic Skills",1,false,true,Standard,"Questions for the beginner user of Microsoft Access features such as file management, Access forms, queries, reports, tables and customizing Access.",34,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,Basic Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_A12ST,"Access 2007 - Standard",1,false,true,Standard,"Questions on the most commonly used Microsoft Access features such as file management, Access forms, queries, reports, tables, customizing Access and Access and the Internet.",35,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
